,name,ticker,index,industry
0,"Shanghai Pudong Development Bank Co., Ltd.",600000.SS,Shanghai,Financial Services
1,"Guangzhou Baiyun International Airport Co., Ltd.",600004.SS,Shanghai,Industrials
2,DongFeng Automobile Co. LTD,600006.SS,Shanghai,Consumer Cyclical
3,"China World Trade Center Co., Ltd.",600007.SS,Shanghai,Real Estate
4,"Beijing Capital Eco-environment Protection Group Co.,ltd.",600008.SS,Shanghai,Industrials
5,"Shanghai International Airport Co., Ltd.",600009.SS,Shanghai,Industrials
6,"Inner Mongolia Baotou Steel Union Co., Ltd.",600010.SS,Shanghai,Basic Materials
7,"Huaneng Power International, Inc.",600011.SS,Shanghai,Utilities
8,Anhui Expressway Company Limited,600012.SS,Shanghai,Industrials
9,"Hua Xia Bank Co., Limited",600015.SS,Shanghai,Financial Services
10,"China Minsheng Banking Corp., Ltd.",600016.SS,Shanghai,Financial Services
11,"Rizhao Port Co., Ltd.",600017.SS,Shanghai,Industrials
12,"Shanghai International Port (Group) Co., Ltd.",600018.SS,Shanghai,Industrials
13,"Baoshan Iron & Steel Co., Ltd.",600019.SS,Shanghai,Basic Materials
14,Henan Zhongyuan Expressway Company Limited,600020.SS,Shanghai,Industrials
15,"Shanghai Electric Power Co., Ltd.",600021.SS,Shanghai,Utilities
16,Shandong Iron and Steel Company Ltd.,600022.SS,Shanghai,Basic Materials
17,"Zhejiang Zheneng Electric Power Co., Ltd.",600023.SS,Shanghai,Utilities
18,Huaneng Lancang River Hydropower Inc.,600025.SS,Shanghai,Utilities
19,"COSCO SHIPPING Energy Transportation Co., Ltd.",600026.SS,Shanghai,Industrials
20,Huadian Power International Corporation Limited,600027.SS,Shanghai,Utilities
21,China Petroleum & Chemical Corporation,600028.SS,Shanghai,
22,China Southern Airlines Company Limited,600029.SS,Shanghai,
23,CITIC Securities Company Limited,600030.SS,Shanghai,Financial Services
24,"Sany Heavy Industry Co., Ltd",600031.SS,Shanghai,Industrials
25,"Zhejiang Provincial New Energy Investment Group Co., Ltd.",600032.SS,Shanghai,Utilities
26,"Fujian Expressway Development Co.,Ltd",600033.SS,Shanghai,Industrials
27,"Hubei Chutian Smart Communication Co.,Ltd.",600035.SS,Shanghai,Industrials
28,"China Merchants Bank Co., Ltd.",600036.SS,Shanghai,Financial Services
29,"Beijing Gehua Catv Network Co.,Ltd.",600037.SS,Shanghai,Communication Services
30,Avicopter Plc,600038.SS,Shanghai,Industrials
31,"Sichuan Road & Bridge Co.,Ltd",600039.SS,Shanghai,Industrials
32,"Poly Developments and Holdings Group Co., Ltd.",600048.SS,Shanghai,Real Estate
33,China United Network Communications Limited,600050.SS,Shanghai,Communication Services
34,"Ningbo United Group Co.,Ltd.",600051.SS,Shanghai,Industrials
35,"Zhejiang Dongwang Times Technology Co., Ltd.",600052.SS,Shanghai,Real Estate
36,"Kunwu Jiuding Investment Holdings Co., Ltd.",600053.SS,Shanghai,Financial Services
37,"Huangshan Tourism Development Co.,Ltd.",600054.SS,Shanghai,Consumer Cyclical
38,"Beijing Wandong Medical Technology Co., Ltd.",600055.SS,Shanghai,Healthcare
39,"China Meheco Group Co., Ltd.",600056.SS,Shanghai,Healthcare
40,"Xiamen Xiangyu Co., Ltd.",600057.SS,Shanghai,Industrials
41,"Minmetals Development Co., Ltd.",600058.SS,Shanghai,Industrials
42,"Zhejiang Guyuelongshan Shaoxing Wine Co.,Ltd",600059.SS,Shanghai,Consumer Defensive
43,"Hisense Visual Technology Co., Ltd.",600060.SS,Shanghai,Technology
44,"SDIC Capital Co.,Ltd",600061.SS,Shanghai,Financial Services
45,"China Resources Double-Crane Pharmaceutical Co.,Ltd.",600062.SS,Shanghai,Healthcare
46,"Anhui Wanwei Updated High-Tech Material Industry Co.,Ltd",600063.SS,Shanghai,Basic Materials
47,Nanjing Gaoke Company Limited,600064.SS,Shanghai,Real Estate
48,"Yutong Bus Co.,Ltd.",600066.SS,Shanghai,Consumer Cyclical
49,"Citychamp Dartong Co.,Ltd.",600067.SS,Shanghai,Industrials
50,"Zhejiang Furun Digital Technology Co., Ltd.",600070.SS,Shanghai,Consumer Cyclical
51,Phenix Optical Company Limited,600071.SS,Shanghai,Consumer Cyclical
52,"CSSC Science& Technology Co., Ltd",600072.SS,Shanghai,Basic Materials
53,"Shanghai Maling Aquarius Co.,Ltd",600073.SS,Shanghai,Consumer Defensive
54,"Xinjiang Tianye Co.,Ltd.",600075.SS,Shanghai,Basic Materials
55,"Kangxin New Materials Co., Ltd",600076.SS,Shanghai,Basic Materials
56,"Sundy Land Investment Co., Ltd.",600077.SS,Shanghai,Real Estate
57,"Humanwell Healthcare (Group) Co.,Ltd.",600079.SS,Shanghai,Healthcare
58,Ginwa Enterprise (Group) Inc.,600080.SS,Shanghai,Healthcare
59,"Dongfeng Electronic Technology Co.,Ltd.",600081.SS,Shanghai,Consumer Cyclical
60,"Tianjin Hi-Tech Development Co.,Ltd.",600082.SS,Shanghai,Industrials
61,"Citic Guoan Wine CO.,LTD",600084.SS,Shanghai,Consumer Defensive
62,"Beijing Tongrentang Co., Ltd",600085.SS,Shanghai,Healthcare
63,"China Television Media, Ltd.",600088.SS,Shanghai,Communication Services
64,"TBEA Co., Ltd.",600089.SS,Shanghai,Industrials
65,Greattown Holdings Ltd.,600094.SS,Shanghai,Real Estate
66,"Xiangcai Co.,Ltd",600095.SS,Shanghai,Consumer Defensive
67,"Yunnan Yuntianhua Co., Ltd.",600096.SS,Shanghai,Basic Materials
68,"Shanghai Kaichuang Marine International Co., Ltd.",600097.SS,Shanghai,Consumer Defensive
69,Guangzhou Development Group Incorporated,600098.SS,Shanghai,Utilities
70,"Linhai Co.,Ltd.",600099.SS,Shanghai,Consumer Cyclical
71,"Tsinghua Tongfang Co.,Ltd.",600100.SS,Shanghai,Technology
72,"Sichuan Mingxing Electric Power Co., Ltd.",600101.SS,Shanghai,Utilities
73,"Fujian Qingshan Paper Industry Co.,Ltd.",600103.SS,Shanghai,Basic Materials
74,SAIC Motor Corporation Limited,600104.SS,Shanghai,
75,Jiangsu Etern Company Limited,600105.SS,Shanghai,Technology
76,"Chongqing road & bridge co.,ltd",600106.SS,Shanghai,Industrials
77,"Hubei Mailyard Share Co.,Ltd",600107.SS,Shanghai,Consumer Cyclical
78,"Gansu Yasheng Industrial (Group) Co., Ltd.",600108.SS,Shanghai,Consumer Defensive
79,"Sinolink Securities Co., Ltd.",600109.SS,Shanghai,Financial Services
80,"Nuode Investment Co.,Ltd",600110.SS,Shanghai,Industrials
81,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",600111.SS,Shanghai,Basic Materials
82,Zhejiang Dongri Limited Company,600113.SS,Shanghai,Industrials
83,"NBTM New Materials Group Co., Ltd.",600114.SS,Shanghai,Consumer Cyclical
84,China Eastern Airlines Corporation Limited,600115.SS,Shanghai,
85,"Chongqing Three Gorges Water Conservancy and Electric Power Co., Ltd.",600116.SS,Shanghai,Utilities
86,"XiNing Special Steel Co., Ltd.",600117.SS,Shanghai,Basic Materials
87,"China Spacesat Co.,Ltd.",600118.SS,Shanghai,Industrials
88,"Y.U.D.Yangtze River Investment Industry Co.,Ltd.",600119.SS,Shanghai,Industrials
89,"Zhejiang Orient Financial Holdings Group Co., Ltd.",600120.SS,Shanghai,Financial Services
90,"Zhengzhou Coal Industry & Electric Power Co., Ltd.",600121.SS,Shanghai,Energy
91,"Shanxi Lanhua Sci-Tech Venture Co.,Ltd",600123.SS,Shanghai,Energy
92,"China Railway Tielong Container Logistics Co., Ltd",600125.SS,Shanghai,Industrials
93,"Hang Zhou Iron & Steel Co.,Ltd.",600126.SS,Shanghai,Basic Materials
94,"Jinjian Cereals Industry Co.,Ltd.",600127.SS,Shanghai,Consumer Defensive
95,Jiangsu Holly Corporation,600128.SS,Shanghai,Consumer Cyclical
96,"Chongqing Taiji Industry(Group) Co.,Ltd",600129.SS,Shanghai,Healthcare
97,"Ningbo Bird Co.,Ltd.",600130.SS,Shanghai,Technology
98,"State Grid Information & Communication Co., Ltd.",600131.SS,Shanghai,Utilities
99,"Chongqing Brewery Co., Ltd.",600132.SS,Shanghai,Consumer Defensive
100,"Wuhan East Lake High Technology Group Co., Ltd.",600133.SS,Shanghai,Industrials
101,"Lucky Film Company,Limited",600135.SS,Shanghai,Basic Materials
102,Sichuan Langsha Holding Ltd.,600137.SS,Shanghai,Consumer Cyclical
103,"China Cyts Tours Holding Co., Ltd.",600138.SS,Shanghai,Consumer Cyclical
104,"Hubei Xingfa Chemicals Group Co., Ltd.",600141.SS,Shanghai,Basic Materials
105,"Kingfa Sci. & Tech. Co., Ltd.",600143.SS,Shanghai,Basic Materials
106,"Changchun Yidong Clutch CO.,LTD",600148.SS,Shanghai,Consumer Cyclical
107,"Langfang Development Co., Ltd.",600149.SS,Shanghai,Technology
108,China CSSC Holdings Limited,600150.SS,Shanghai,Industrials
109,"Shanghai Aerospace Automobile Electromechanical Co., Ltd.",600151.SS,Shanghai,Consumer Cyclical
110,"Veken Technology Co., Ltd.",600152.SS,Shanghai,Technology
111,Xiamen C&D Inc.,600153.SS,Shanghai,Industrials
112,"Polaris Bay Group Co.,Ltd.",600155.SS,Shanghai,Financial Services
113,"Hunan Huasheng Co.,Ltd",600156.SS,Shanghai,Consumer Cyclical
114,"Wintime Energy Co.,Ltd.",600157.SS,Shanghai,Energy
115,"China Sports Industry Group Co., Ltd.",600158.SS,Shanghai,Real Estate
116,"Beijing Dalong Weiye Real Estate Development Co.,Ltd",600159.SS,Shanghai,Real Estate
117,"Zhejiang Juhua Co., Ltd.",600160.SS,Shanghai,Basic Materials
118,"Beijing Tiantan Biological Products Co., Ltd.",600161.SS,Shanghai,Healthcare
119,"Shenzhen HeungKong Holding Co.,Ltd",600162.SS,Shanghai,Real Estate
120,"Zhongmin Energy Co., Ltd.",600163.SS,Shanghai,Utilities
121,"Ningxia Zhongke Biotechnology Co., Ltd.",600165.SS,Shanghai,Basic Materials
122,"Beiqi Foton Motor Co., Ltd.",600166.SS,Shanghai,Consumer Cyclical
123,"Luenmei Quantum Co.,Ltd",600167.SS,Shanghai,Utilities
124,"Wuhan Sanzhen Industry Holding Co.,Ltd",600168.SS,Shanghai,Utilities
125,"Taiyuan Heavy Industry Co., Ltd.",600169.SS,Shanghai,Industrials
126,"Shanghai Construction Group Co., Ltd.",600170.SS,Shanghai,Industrials
127,"Shanghai Belling Co., Ltd.",600171.SS,Shanghai,Technology
128,"Henan Huanghe Whirlwind Co., Ltd.",600172.SS,Shanghai,Basic Materials
129,"Wolong Real Estate Group Co.,Ltd.",600173.SS,Shanghai,Real Estate
130,"China Jushi Co., Ltd.",600176.SS,Shanghai,Basic Materials
131,"Youngor Group Co.,Ltd",600177.SS,Shanghai,Consumer Cyclical
132,"Harbin Dongan Auto Engine Co.,Ltd",600178.SS,Shanghai,Consumer Cyclical
133,"Antong Holdings Co., Ltd.",600179.SS,Shanghai,Industrials
134,"CCS Supply Chain Management Co., Ltd.",600180.SS,Shanghai,Industrials
135,"Shengyi Technology Co.,Ltd.",600183.SS,Shanghai,Technology
136,"North Electro-Optic Co.,Ltd.",600184.SS,Shanghai,Industrials
137,"Gree Real Estate Co., Ltd",600185.SS,Shanghai,Real Estate
138,Lotus Health Group Company,600186.SS,Shanghai,Consumer Defensive
139,"Heilongjiang Interchina Water Treatment Co.,Ltd.",600187.SS,Shanghai,Utilities
140,Yankuang Energy Group Company Limited,600188.SS,Shanghai,Energy
141,"Jilin Forest Industry Co., Ltd.",600189.SS,Shanghai,Basic Materials
142,"Jinzhou Port Co., Ltd.",600190.SS,Shanghai,Industrials
143,"Lanzhou GreatWall Electrical Co., Ltd",600192.SS,Shanghai,Industrials
144,"Shanghai Prosolar Resources Development Co., Ltd",600193.SS,Shanghai,Industrials
145,"China Animal Husbandry Industry Co., Ltd.",600195.SS,Shanghai,Healthcare
146,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",600196.SS,Shanghai,Healthcare
147,"Xinjiang Yilite Industry Co.,Ltd",600197.SS,Shanghai,Consumer Defensive
148,"Datang Telecom Technology Co., Ltd.",600198.SS,Shanghai,Technology
149,"Anhui Golden Seed Winery Co., Ltd.",600199.SS,Shanghai,Consumer Defensive
150,"JiangSu WuZhong Pharmaceutical Development Co., Ltd.",600200.SS,Shanghai,Healthcare
151,"Jinyu Bio-technology Co., Ltd.",600201.SS,Shanghai,Healthcare
152,"Harbin Air Conditioning Co.,Ltd.",600202.SS,Shanghai,Industrials
153,"Fujian Furi Electronics Co.,Ltd",600203.SS,Shanghai,Technology
154,"Grinm Advanced Materials Co., Ltd.",600206.SS,Shanghai,Technology
155,"Henan Ancai Hi-Tech Co.,Ltd",600207.SS,Shanghai,Industrials
156,"Xinhu Zhongbao Co.,Ltd.",600208.SS,Shanghai,Real Estate
157,"Shanghai Zijiang Enterprise Group Co., Ltd.",600210.SS,Shanghai,Consumer Cyclical
158,Tibet Rhodiola Pharmaceutical Holding Co.,600211.SS,Shanghai,Healthcare
159,"Gresgying Digital Energy Technology Co.,Ltd",600212.SS,Shanghai,Industrials
160,"Yangzhou Yaxing Motor Coach Co., Ltd.",600213.SS,Shanghai,Consumer Cyclical
161,"Paslin Digital Technology Co., Ltd.",600215.SS,Shanghai,Real Estate
162,"Zhejiang Medicine Co., Ltd.",600216.SS,Shanghai,Healthcare
163,"China Resources and Environment Co.,Ltd.",600217.SS,Shanghai,Industrials
164,"Anhui Quanchai Engine Co., Ltd.",600218.SS,Shanghai,Consumer Cyclical
165,"Shandong Nanshan Aluminium Co.,Ltd.",600219.SS,Shanghai,Basic Materials
166,"Jiangsu Sunshine Co., Ltd.",600220.SS,Shanghai,Consumer Cyclical
167,"Henan Taloph Pharmaceutical Stock Co.,Ltd",600222.SS,Shanghai,Healthcare
168,"Lushang Health Industry Development Co.,Ltd.",600223.SS,Shanghai,Real Estate
169,"Tianjin Songjiang Co., Ltd.",600225.SS,Shanghai,Real Estate
170,"Guizhou Salvage Pharmaceutical Co.,Ltd.",600227.SS,Shanghai,Basic Materials
171,"Fanli Digital Technology Co.,Ltd",600228.SS,Shanghai,Basic Materials
172,"Qingdao Citymedia Co,. Ltd.",600229.SS,Shanghai,Communication Services
173,"Cangzhou Dahua Co., Ltd.",600230.SS,Shanghai,Basic Materials
174,"Lingyuan Iron & Steel Co., Ltd.",600231.SS,Shanghai,Basic Materials
175,"Zhejiang Golden Eagle Co.,Ltd.",600232.SS,Shanghai,Consumer Cyclical
176,"YTO Express Group Co.,Ltd.",600233.SS,Shanghai,Industrials
177,"Guanghe Landscape Culture Communication Co., Ltd.",600234.SS,Shanghai,Communication Services
178,"Minfeng Special Paper Co., Ltd.",600235.SS,Shanghai,Basic Materials
179,"Guangxi Guiguan Electric PowerCo.,Ltd.",600236.SS,Shanghai,Utilities
180,Anhui Tongfeng Electronics Company Limited,600237.SS,Shanghai,Technology
181,"HaiNan Yedao (Group) Co., Ltd.",600238.SS,Shanghai,Consumer Defensive
182,"QingHai HuaDing Industrial CO.,LTD.",600243.SS,Shanghai,Industrials
183,"Vantone Neo Development Group Co.,Ltd.",600246.SS,Shanghai,Real Estate
184,Shaanxi Construction Engineering Group Corporation Limited,600248.SS,Shanghai,Industrials
185,"Liuzhou Liangmianzhen Co., Ltd.",600249.SS,Shanghai,Consumer Defensive
186,"Nanjing Textiles Import & Export Corp., Ltd.",600250.SS,Shanghai,Industrials
187,"Xinjiang Guannong Fruit & Antler Co.,Ltd.",600251.SS,Shanghai,Consumer Defensive
188,"Guangxi Wuzhou Zhongheng Group Co.,Ltd",600252.SS,Shanghai,Healthcare
189,"Anhui Xinke New Materials Co.,Ltd",600255.SS,Shanghai,Basic Materials
190,"Guanghui Energy Co., Ltd.",600256.SS,Shanghai,Energy
191,"Dahu Aquaculture Co.,Ltd.",600257.SS,Shanghai,Consumer Defensive
192,"BTG Hotels (Group) Co., Ltd.",600258.SS,Shanghai,Consumer Cyclical
193,"Rising Nonferrous Metals Share Co.,Ltd.",600259.SS,Shanghai,Basic Materials
194,"Zhejiang Yankon Group Co., Ltd.",600261.SS,Shanghai,Industrials
195,"Inner Mongolia North Hauler Joint Stock Co., Ltd.",600262.SS,Shanghai,Industrials
196,"Beijing Urban Construction Investment & Development Co., Ltd.",600266.SS,Shanghai,Real Estate
197,"Zhejiang Hisun Pharmaceutical Co., Ltd.",600267.SS,Shanghai,Healthcare
198,"Guodian Nanjing Automation Co., Ltd.",600268.SS,Shanghai,Technology
199,"Jiangxi Ganyue Expressway CO.,LTD.",600269.SS,Shanghai,Industrials
200,Aisino Corporation,600271.SS,Shanghai,Technology
201,Shanghai Kai Kai Industry Company Limited,600272.SS,Shanghai,Consumer Cyclical
202,"Zhejiang Jiahua Energy Chemical Industry Co.,Ltd.",600273.SS,Shanghai,Basic Materials
203,"Jiangsu Hengrui Medicine Co., Ltd.",600276.SS,Shanghai,Healthcare
204,Elion Energy Company Limited,600277.SS,Shanghai,Healthcare
205,"Orient International Enterprise, Ltd.",600278.SS,Shanghai,Industrials
206,"Chongqing Port Co.,Ltd.",600279.SS,Shanghai,Industrials
207,"Nanjing Central Emporium (Group) Stocks Co., Ltd.",600280.SS,Shanghai,Consumer Cyclical
208,"Shanxi Huayang New Material Co.,Ltd.",600281.SS,Shanghai,Basic Materials
209,"Nanjing Iron & Steel Co., Ltd.",600282.SS,Shanghai,Basic Materials
210,"Qian Jiang Water Resources Development Co.,Ltd",600283.SS,Shanghai,Utilities
211,"Shanghai Pudong Construction Co.,Ltd.",600284.SS,Shanghai,Industrials
212,"Henan Lingrui Pharmaceutical Co., Ltd.",600285.SS,Shanghai,Healthcare
213,"Jiangsu Sainty Corp., Ltd.",600287.SS,Shanghai,Industrials
214,Daheng New Epoch Technology Inc.,600288.SS,Shanghai,Industrials
215,"Spic Yuanda Environmental-Protection Co., Ltd.",600292.SS,Shanghai,Utilities
216,"Hubei Sanxia New Building Materials Co., Ltd.",600293.SS,Shanghai,Basic Materials
217,"Inner Mongolia Erdos Resources Co.,ltd.",600295.SS,Shanghai,Consumer Cyclical
218,"China Grand Automotive Services Group Co., Ltd.",600297.SS,Shanghai,Consumer Cyclical
219,"Angel Yeast Co., Ltd",600298.SS,Shanghai,Consumer Defensive
220,Bluestar Adisseo Company,600299.SS,Shanghai,Basic Materials
221,"V V Food & Beverage Co.,Ltd",600300.SS,Shanghai,Consumer Defensive
222,"Nanning Chemical Industry Co., Ltd.",600301.SS,Shanghai,Basic Materials
223,"Xi'an Typical Industries Co.,Ltd",600302.SS,Shanghai,Industrials
224,"Jiangsu Hengshun Vinegar-Industry Co.,Ltd",600305.SS,Shanghai,Consumer Defensive
225,"Gansu Jiu Steel Group Hongxing Iron & Steel Co.,Ltd.",600307.SS,Shanghai,Basic Materials
226,"Shandong Huatai Paper Industry Shareholding Co.,Ltd",600308.SS,Shanghai,Basic Materials
227,"Wanhua Chemical Group Co., Ltd.",600309.SS,Shanghai,Basic Materials
228,"Guangxi Guidong Electric Power Co., Ltd.",600310.SS,Shanghai,Utilities
229,"Henan Pinggao Electric Co.,Ltd.",600312.SS,Shanghai,Industrials
230,"Zhongnongfa Seed Industry Group Co., Ltd.",600313.SS,Shanghai,Consumer Defensive
231,"Shanghai Jahwa United Co., Ltd.",600315.SS,Shanghai,Consumer Defensive
232,"Jiangxi Hongdu Aviation Industry Co., Ltd.",600316.SS,Shanghai,Industrials
233,"Anhui Xinli Finance Co., Ltd.",600318.SS,Shanghai,Financial Services
234,"Weifang Yaxing Chemical Co., Ltd.",600319.SS,Shanghai,Basic Materials
235,"Shanghai Zhenhua Heavy Industries Co., Ltd.",600320.SS,Shanghai,Industrials
236,"Rightway Holdings Co.,ltd.",600321.SS,Shanghai,Industrials
237,"Tianjin Realty Development (Group) Co., Ltd.",600322.SS,Shanghai,Real Estate
238,"Grandblue Environment Co., Ltd.",600323.SS,Shanghai,Utilities
239,"Zhuhai Huafa Properties Co.,Ltd",600325.SS,Shanghai,Real Estate
240,"Tibet Tianlu Co., Ltd.",600326.SS,Shanghai,Industrials
241,"Wuxi Commercial Mansion Grand Orient Co., Ltd.",600327.SS,Shanghai,Consumer Cyclical
242,"CNSIG Inner Mongolia Chemical Industry Co., Ltd.",600328.SS,Shanghai,Basic Materials
243,Tianjin Pharmaceutical Da Ren Tang Group Corporation Limited,600329.SS,Shanghai,Healthcare
244,"TDG Holding Co., Ltd.",600330.SS,Shanghai,Technology
245,"Sichuan Hongda Co.,Ltd",600331.SS,Shanghai,Basic Materials
246,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,600332.SS,Shanghai,Healthcare
247,"Changchun Gas Co,.Ltd",600333.SS,Shanghai,Utilities
248,"Sinomach Automobile Co., Ltd.",600335.SS,Shanghai,Consumer Cyclical
249,"AUCMA Co.,Ltd.",600336.SS,Shanghai,Technology
250,"Markor International Home Furnishings Co., Ltd.",600337.SS,Shanghai,Consumer Cyclical
251,"Tibet Summit Resources Co.,Ltd.",600338.SS,Shanghai,Basic Materials
252,China Petroleum Engineering Corporation,600339.SS,Shanghai,Energy
253,"China Fortune Land Development Co., Ltd.",600340.SS,Shanghai,Real Estate
254,"Shaanxi Aerospace Power Hi-Tech Co., Ltd.",600343.SS,Shanghai,Industrials
255,"WuHan Yangtze Communication Industry GroupCo.,Ltd",600345.SS,Shanghai,Technology
256,"Hengli Petrochemical Co.,Ltd.",600346.SS,Shanghai,Consumer Cyclical
257,"Shan Xi Huayang Group New Energy Co.,Ltd.",600348.SS,Shanghai,Energy
258,Shandong Hi-speed Company Limited,600350.SS,Shanghai,Industrials
259,"Yabao Pharmaceutical Group Co., Ltd",600351.SS,Shanghai,Healthcare
260,"Zhejiang Longsheng Group Co.,Ltd",600352.SS,Shanghai,Basic Materials
261,"Chengdu Xuguang Electronics Co., Ltd.",600353.SS,Shanghai,Industrials
262,"Gansu Dunhuang Seed Group Co.,Ltd.",600354.SS,Shanghai,Consumer Defensive
263,"Routon Electronic Co., Ltd.",600355.SS,Shanghai,Technology
264,"Mudanjiang Hengfeng Paper Co.,Ltd",600356.SS,Shanghai,Basic Materials
265,"China United Travel Co.,Ltd",600358.SS,Shanghai,Consumer Cyclical
266,"Xinjiang Talimu Agriculture Development Co., Ltd.",600359.SS,Shanghai,Consumer Defensive
267,"Jilin Sino-Microelectronics Co., Ltd.",600360.SS,Shanghai,Technology
268,"Beijing Hualian Hypermarket Co., Ltd.",600361.SS,Shanghai,Consumer Defensive
269,Jiangxi Copper Company Limited,600362.SS,Shanghai,Basic Materials
270,"Jiangxi Lianchuang Opto-Electronic Science&Technology Co.,Ltd",600363.SS,Shanghai,Technology
271,"Ningbo Yunsheng Co., Ltd.",600366.SS,Shanghai,Industrials
272,"Guizhou RedStar Developing Co.,Ltd.",600367.SS,Shanghai,Basic Materials
273,"Guangxi Wuzhou Communications Co., Ltd.",600368.SS,Shanghai,Industrials
274,"Southwest Securities Co., Ltd.",600369.SS,Shanghai,Financial Services
275,"Jiangsu Sanfame Polyester Material Co.,Ltd.",600370.SS,Shanghai,Consumer Cyclical
276,"Wanxiang Doneed Co., ltd",600371.SS,Shanghai,Consumer Defensive
277,"China Avionics Systems Co.,Ltd.",600372.SS,Shanghai,Industrials
278,"Chinese Universe Publishing and Media Group Co., Ltd.",600373.SS,Shanghai,Communication Services
279,"Hanma Technology Group Co.,Ltd.",600375.SS,Shanghai,Industrials
280,"Beijing Capital Development Co., Ltd.",600376.SS,Shanghai,Real Estate
281,Jiangsu Expressway Company Limited,600377.SS,Shanghai,Industrials
282,"Haohua Chemical Science & Technology Corp., Ltd.",600378.SS,Shanghai,Basic Materials
283,"Shaanxi Baoguang Vacuum Electric Device Co., Ltd.",600379.SS,Shanghai,Industrials
284,"Joincare Pharmaceutical Group Industry Co.,Ltd.",600380.SS,Shanghai,Healthcare
285,"Qinghai Spring Medicinal Resources Technology Co., Ltd.",600381.SS,Shanghai,Energy
286,Gemdale Corporation,600383.SS,Shanghai,Real Estate
287,"Beijing Bashi Media Co., Ltd.",600386.SS,Shanghai,Consumer Cyclical
288,"Nantong Jiangshan Agrochemical & Chemicals Co.,Ltd.",600389.SS,Shanghai,Basic Materials
289,Minmetals Capital Company Limited,600390.SS,Shanghai,Financial Services
290,"Aecc Aero Science and Technology Co.,Ltd",600391.SS,Shanghai,Industrials
291,"Shenghe Resources Holding Co., Ltd",600392.SS,Shanghai,Basic Materials
292,"Guangzhou Yuetai Group Co., Ltd.",600393.SS,Shanghai,Real Estate
293,"Guizhou Panjiang Refined Coal Co.,Ltd.",600395.SS,Shanghai,Energy
294,"Shenyang Jinshan Energy Co., Ltd.",600396.SS,Shanghai,Utilities
295,"Anyuan Coal Industry Group Co., Ltd.",600397.SS,Shanghai,Basic Materials
296,"Hla Group Corp., Ltd.",600398.SS,Shanghai,Consumer Cyclical
297,"Fushun Special Steel Co.,LTD.",600399.SS,Shanghai,Basic Materials
298,"Jiangsu Hongdou Industrial Co., Ltd",600400.SS,Shanghai,Consumer Cyclical
299,"Henan Dayou Energy Co., Ltd",600403.SS,Shanghai,Energy
300,"Beijing Dynamic Power Co.,LTD",600405.SS,Shanghai,Industrials
301,"NARI Technology Co., Ltd.",600406.SS,Shanghai,Industrials
302,"Shanxi Antai Group Co.,Ltd",600408.SS,Shanghai,Basic Materials
303,"Tangshan Sanyou Chemical Industries Co.,Ltd",600409.SS,Shanghai,Basic Materials
304,"Beijing Teamsun Technology Co.,Ltd.",600410.SS,Shanghai,Technology
305,"Zhejiang China Commodities City Group Co., Ltd.",600415.SS,Shanghai,Real Estate
