,name,wkn,index,de_ticker,ticker,industry,ISIN
0,ABB Ltd.,919730,CH,ABJ,ABBN.SW,Elektrotechnologie,CH0012221716
1,Addex Therapeutics SA,A0MSH6,CH,APE,ADXN.SW,Pharma,CH0029850754
2,Adecco Group AG,922031,CH,ADI1,ADEN.SW,Dienstleistungen,CH0012138605
3,Adval Tech Holding AG,914585,CH,28D,ADVN.SW,Sonstige Technologie,CH0008967926
4,AFG Arbonia-Forster-Holding AG,A1CUXD,CH,ANGA,ARBN.SW,Fahrzeuge,CH0110240600
5,Airesis S.A.,890218,CH,HPJN,AIRE.SW,Finanzdienstleistungen,CH0010947627
6,Allreal Holding AG,935276,CH,AZ4N,ALLN.SW,Immobilien,CH0008837566
7,ALSO Holding AG,A0JJW1,CH,9AS,ALSN.SW,Logistik/Transport,CH0024590272
8,APG SGA SA,A0B7X3,CH,279,APGN.SW,Dienstleistungen,CH0019107025
9,APTG AG NAM. SF 5,A1139M,CH,,not_found,Kunststoffe/Verpackungen,CH0242606942
10,Aryzta AG,A0Q4FN,CH,YZA,ARYN.SW,Nahrungsmittel/Agrar,CH0043238366
11,Ascom Holding AG,885933,CH,AH2N,ASCN.SW,IT-Dienstleistungen,CH0011339204
12,Autoneum Holding AG,A1H900,CH,AN9,AUTN.SW,Fahrzeuge,CH0127480363
13,Bachem AG,-,CH,not_found,not_found,not_found,not_found
14,Baloise Holding AG,853020,CH,BLON,BALN.SW,Finanzdienstleistungen,CH0012410517
15,Bank Linth LLB AG,-,CH,not_found,not_found,not_found,not_found
16,Barry Callebaut AG,914661,CH,BCLN,BARN.SW,Nahrungsmittel/Agrar,CH0009002962
17,Basellandschaftliche Kantonalbank,577348,CH,294,BLKB.SW,Finanzdienstleistungen,CH0001473559
18,Basilea Pharmaceutica AG,A0B9GA,CH,PK5,BSLN.SW,Biotechnologie,CH0011432447
19,Basler Kantonalbank,871627,CH,0B8,BSKP.SW,Finanzdienstleistungen,CH0009236461
20,BB Biotech AG,A0NFN3,CH,BBZA,BION.SW,Biotechnologie,CH0038389992
21,Belimo Holding AG,897962,CH,not_found,not_found,not_found,not_found
22,Bellevue Group AG,A0LG3Z,CH,SJZN,BBN.SW,Finanzdienstleistungen,CH0028422100
23,Berner Kantonalbank AG,922036,CH,BEHV,BEKN.SW,Finanzdienstleistungen,CH0009691608
24,BFW Liegenschaft AG,A0MRHE,CH,,not_found,Immobilien,CH0018206117
25,BKW AG,A1JLZG,CH,B9W,BKW.SW,Versorger,CH0130293662
26,Bossard Holding AG,A111WS,CH,0B7,BOSN.SW,Maschinenbau,CH0238627142
27,Bucher Industries AG,A0EAHZ,CH,BUHA,BUCN.SW,Maschinenbau,CH0002432174
28,Burckhardt Compression Holding AG,A0J3NX,CH,B5H,BCHN.SW,Maschinenbau,CH0025536027
29,Burkhalter Holding AG,A1WZP3,CH,BKMA,BRKN.SW,Elektrotechnologie,CH0212255803
