,name,wkn,index,de_ticker,ticker,industry,ISIN
0,3D Systems Corp,888346,USA,SYV,DDD,Hardware,US88554D2053
1,3M Company,851745,USA,MMM,MMM,Konsumgüter,US88579Y1010
2,A10 Networks,A1XEYC,USA,8A0,ATEN,Netzwerktechnik,US0021211018
3,AAR Corp,862821,USA,ARZ,AIR,Dienstleistungen,US0003611052
4,ABB Ltd,675089,USA,ABJA,ABB,Elektrotechnologie,US0003752047
5,Abbott Laboratories,850103,USA,ABL,ABT,Pharma,US0028241000
6,ABBVIE,A1J84E,USA,4AB,ABBV,Pharma,US00287Y1091
7,Abercrombie & Fitch Co,903016,USA,AFT,ANF,Bekleidung/Textil,US0028962076
8,ABM Industries,857218,USA,AB4,ABM,Dienstleistungen,US0009571003
9,Acadia Realty Trust,985331,USA,WX1,AKR,Immobilien,US0042391096
10,Accenture PLC,A0YAQA,USA,CSA,ACN,IT-Dienstleistungen,IE00B4BNMY34
11,Acco Brands Corp,A0F7D1,USA,A3B,ACCO,Konsumgüter,US00081T1088
12,Acuity Brands,813307,USA,AQ8,AYI,Bau/Infrastruktur,US00508Y1029
13,Adecoagro SA,A1H63F,USA,ACD,AGRO,Nahrungsmittel/Agrar,LU0584671464
14,Advance Auto Parts,982516,USA,AWN,AAP,Fahrzeuge,US00751Y1064
15,Advanced Drainage Systems,A117FL,USA,6DA,WMS,Bau/Infrastruktur,US00790R1041
16,Advantest Corp.,A0KE8F,USA,VANA,ATEYY,Elektrotechnologie,US00762U2006
17,Aecom,A0MMEV,USA,E6Z,ACM,Dienstleistungen,US00766T1007
18,Aegon NV,873131,USA,AENF,AEG,Finanzdienstleistungen,US0079241032
19,Aercap Holdings NV,A0LFB3,USA,R1D,AER,Luftfahrt/Rüstung,NL0000687663
20,Aerojet Rocketdyne Holdings,A14RBW,USA,GCY,AJRD,Sonstige Technologie,US0078001056
21,AES Corp,882177,USA,AES,AES,Versorger,US00130H1059
22,Affiliated Managers Group,910682,USA,AFS,AMG,Finanzdienstleistungen,US0082521081
23,Aflac,853081,USA,AFL,AFL,Finanzdienstleistungen,US0010551028
24,AG Mortgage Investment Trust,A1JLMZ,USA,not_found,not_found,not_found,not_found
25,AGCO Corp,888282,USA,AGJ,AGCO,Fahrzeuge,US0010841023
26,Agilent Technologies,929138,USA,AG8,A,Elektrotechnologie,US00846U1016
27,Agnico Eagle Mines Ltd,860325,USA,AE9,AEM,Rohstoffe,CA0084741085
28,Agree Realty Corp,890700,USA,AGL,ADC,Immobilien,US0084921008
29,Air Lease Corp,A1H92R,USA,AVLA,AL,Luftfahrt/Rüstung,US00912X3026
30,Air Products & Chemicals,854912,USA,AP3,APD,Chemie,US0091581068
31,Alamo Group,886106,USA,AL3,ALG,Maschinenbau,US0113111076
32,Alaska Air Group,869843,USA,ALK,ALK,Luftfahrt/Rüstung,US0116591092
33,Albany International Corp,874315,USA,AII,AIN,Sonstige Technologie,US0123481089
34,Albemarle Corp,890167,USA,AMC,ALB,Chemie,US0126531013
35,Alexander & Baldwin,A1J0RZ,USA,ABU,ALEX,Immobilien,US0144911049
36,Alexander's,857899,USA,AXE,ALX,Immobilien,US0147521092
37,Alexandria Real Estate Equities,907179,USA,A6W,ARE,Immobilien,US0152711091
38,Alibaba Group Holding Limited,A117ME,USA,AHLA,BABA,Handel/E-Commerce,US01609W1027
39,Alleghany Corp,872718,USA,AGA,Y,Finanzdienstleistungen,US0171751003
40,Allegheny Technologies,931083,USA,ATD,ATI,Eisen/Stahl,US01741R1023
41,Allegion Public Limited,A1W869,USA,60A,ALLE,Sonstige Technologie,IE00BFRT3W74
42,ALLETE,A0DJ2T,USA,AEBA,ALE,Versorger,US0185223007
43,Alliance Data Systems Corp,934251,USA,LID,ADS,Dienstleistungen,US0185811082
44,AllianceBernstein Holding LP,A0JEGN,USA,,AB,Finanzdienstleistungen,US01881G1067
45,Alliant Energy Corp,855870,USA,AY1,LNT,Versorger,US0188021085
46,Allison Transmission Holdings,A1JGSV,USA,1A7,ALSN,Maschinenbau,US01973R1014
47,Allstate Corp (The),886429,USA,ALS,ALL,Finanzdienstleistungen,US0200021014
48,Ally Financial,A1W2MF,USA,GMZ,ALLY,Finanzdienstleistungen,US02005N1000
49,Altria Group,200417,USA,PHM7,MO,Getränke/Tabak,US02209S1033
50,Alum Corp,982495,USA,AOCA,ACH,Rohstoffe,US0222761092
51,Ambev SA,A1W749,USA,AMNA,AMNA.F,Getränke/Tabak,US02319V1035
52,AMC Entertainment Holdings,A1W90H,USA,AH9,AMC,Unterhaltung,US00165C1045
53,Ameren Corp,911535,USA,AE4,AEE,Versorger,US0236081024
54,Ameresco,A1C2FD,USA,4AM,AMRC,Dienstleistungen,US02361E1082
55,America Movil SAB de CV,603115,USA,MV9L,AMX,Telekom,US02364W1053
56,American Assets Trust,A1H59V,USA,not_found,AAT,Immobilien,US0240131047
57,American Axle & Manufacturing Holdings,918692,USA,AYA,AXL,Fahrzeuge,US0240611030
58,American Campus Communities,A0B7TP,USA,FGA,ACC,Immobilien,US0248351001
59,American Eagle Outfitters,897113,USA,AFG,AEO,Bekleidung/Textil,US02553E1064
60,American Electric Power Company,850222,USA,AEP,AEP,Versorger,US0255371017
61,American Equity Investment Life Holding Company,914349,USA,AM5,AEL,Finanzdienstleistungen,US0256762065
62,American Express Company,850226,USA,AEC1,AXP,Finanzdienstleistungen,US0258161092
63,American Financial Group,894969,USA,QFI,AFG,Finanzdienstleistungen,US0259321042
64,American Homes 4 Rent,A1W3P0,USA,A4XA,AMH,Immobilien,US02665T3068
65,American International Group,A0X88Z,USA,AINN,AIG,Finanzdienstleistungen,US0268747849
66,American Realty Investors,541936,USA,not_found,not_found,not_found,not_found
67,American States Water Company,881720,USA,FDK,AWR,Dienstleistungen,US0298991011
68,American Tower Corp,A1JRLA,USA,A0T,AMT,Immobilien,US03027X1000
69,American Vanguard Corp,675543,USA,AVJ,AVD,Chemie,US0303711081
70,American Water Works Company,A0NJ38,USA,AWC,AWK,Versorger,US0304201033
71,Ameriprise Financial,A0F55S,USA,A4S,AMP,Finanzdienstleistungen,US03076C1062
72,AmerisourceBergen Corp,766149,USA,ABG,ABC,Dienstleistungen,US03073E1055
73,Ametek,908668,USA,AK1,AME,Elektrotechnologie,US0311001004
74,AMN Healthcare Services,798185,USA,HCQ,AMN,Gesundheitswesen,US0017441017
75,Ampco-Pittsburgh Corp,852259,USA,,AP,Eisen/Stahl,US0320371034
76,Amphenol Corp,882749,USA,XPH,APH,Elektrotechnologie,US0320951017
77,AMREP Corp,856767,USA,not_found,not_found,not_found,not_found
78,AngloGold Ashanti Limited,915102,USA,AOD,AU,Rohstoffe,US0351282068
79,Anheuser-Busch INBEV SA/NV,A0N916,USA,ITKA,BUD,Getränke/Tabak,US03524A1088
80,Annaly Capital Management,909823,USA,AAY,NLY,Finanzdienstleistungen,US0357104092
81,ANTERO RESOURCES Corp,A1W4U4,USA,7A6,AR,Öl/Gas,US03674X1063
82,ANTHEM,A12FMV,USA,A58,ANTM,Gesundheitswesen,US0367521038
83,AO Smith Corp,868323,USA,3SM,AOS,Maschinenbau,US8318652091
84,APA Corp,857530,USA,not_found,not_found,not_found,not_found
85,Apollo Commercial Real Estate Finance,A0YA4B,USA,9A1,ARI,Finanzdienstleistungen,US03762U1051
86,Applied Industrial Technologies,861210,USA,AT4,AIT,Handel/E-Commerce,US03820C1053
87,AptarGroup,886413,USA,AGT,ATR,Kunststoffe/Verpackungen,US0383361039
88,Aptiv PLC,A1JPLB,USA,D7A,APTV,Fahrzeuge,JE00B783TY65
89,ARAMARK,A1W92R,USA,0AK,ARMK,Dienstleistungen,US03852U1060
